epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.9665,3.81559,3.95533,4.08498,0.00356,0.13409,0.00257,0.00094,4.10541,4.29995,4.25004,0.000408333,0.000408333,0.000408333
2,65.0069,2.86497,2.9862,3.238,0.51888,0.02703,0.00861,0.00277,3.18351,4.11741,3.53626,0.000816833,0.000816833,0.000816833
3,97.3298,2.49741,2.62024,2.84949,0.54488,0.20459,0.18314,0.08037,2.41684,2.96812,2.97228,0.00121708,0.00121708,0.00121708
4,129.399,2.12343,2.34189,2.5343,0.63099,0.31835,0.30706,0.13454,2.05824,2.24151,2.63134,0.00121287,0.00121287,0.00121287
5,161.234,1.93058,2.16458,2.29714,0.66581,0.35339,0.36679,0.21494,1.66047,2.06921,2.21915,0.0012005,0.0012005,0.0012005
6,193.145,1.73591,1.9996,2.10091,0.60969,0.37061,0.35652,0.16839,1.83704,2.02837,2.30612,0.00118812,0.00118812,0.00118812
7,224.992,1.63845,1.91134,1.98163,0.69187,0.3646,0.41875,0.27011,1.44822,1.70421,1.95076,0.00117575,0.00117575,0.00117575
8,256.649,1.55153,1.81861,1.89347,0.47635,0.41656,0.45483,0.26822,1.51897,1.70543,1.98607,0.00116337,0.00116337,0.00116337
9,288.465,1.48526,1.75905,1.81591,0.56836,0.39885,0.46665,0.31558,1.27409,1.57152,1.748,0.001151,0.001151,0.001151
10,320.386,1.42485,1.70312,1.759,0.47647,0.50015,0.48867,0.32721,1.27693,1.49731,1.73451,0.00113863,0.00113863,0.00113863
11,352.26,1.36145,1.63572,1.69762,0.47834,0.48832,0.48481,0.31638,1.24913,1.54818,1.70121,0.00112625,0.00112625,0.00112625
12,384,1.33271,1.61563,1.66437,0.51115,0.54053,0.53124,0.36833,1.15013,1.41771,1.6224,0.00111388,0.00111388,0.00111388
13,415.751,1.30132,1.57554,1.62619,0.52774,0.57104,0.55973,0.37384,1.19663,1.43606,1.58652,0.0011015,0.0011015,0.0011015
14,447.569,1.25991,1.54416,1.58925,0.55976,0.50204,0.51712,0.35442,1.12722,1.54248,1.57347,0.00108913,0.00108913,0.00108913
15,479.399,1.23539,1.53287,1.55539,0.56152,0.64313,0.5889,0.41264,1.0438,1.30129,1.47059,0.00107675,0.00107675,0.00107675
16,511.102,1.22373,1.49839,1.54379,0.56202,0.606,0.5857,0.42211,1.03609,1.2895,1.46301,0.00106437,0.00106437,0.00106437
17,542.938,1.17337,1.46404,1.50561,0.54752,0.57761,0.56466,0.40601,0.97546,1.29305,1.41215,0.001052,0.001052,0.001052
18,574.729,1.15305,1.45011,1.47701,0.54055,0.59499,0.58133,0.40899,1.03745,1.30448,1.45536,0.00103962,0.00103962,0.00103962
19,606.448,1.13483,1.40972,1.45429,0.61033,0.62315,0.62661,0.44969,0.98281,1.27739,1.42222,0.00102725,0.00102725,0.00102725
20,638.329,1.12451,1.40481,1.44886,0.63961,0.53027,0.59858,0.42633,1.00334,1.3318,1.39794,0.00101488,0.00101488,0.00101488
21,670.056,1.10062,1.37294,1.42342,0.60041,0.63122,0.63537,0.43873,1.03676,1.24716,1.42734,0.0010025,0.0010025,0.0010025
22,701.851,1.08235,1.36195,1.42093,0.55927,0.65171,0.62539,0.45947,0.94663,1.19773,1.37161,0.000990125,0.000990125,0.000990125
23,733.71,1.06357,1.34087,1.38873,0.58769,0.68533,0.64528,0.47359,0.90032,1.17299,1.33201,0.00097775,0.00097775,0.00097775
24,765.566,1.04897,1.31465,1.37955,0.62707,0.66594,0.65742,0.48318,0.91346,1.17532,1.33812,0.000965375,0.000965375,0.000965375
25,797.33,1.043,1.32158,1.37588,0.57352,0.66128,0.64458,0.48345,0.88068,1.13365,1.30472,0.000953,0.000953,0.000953
26,828.998,1.02694,1.29503,1.35626,0.65789,0.66526,0.66477,0.49071,0.84628,1.15147,1.27525,0.000940625,0.000940625,0.000940625
27,860.795,1.02969,1.27493,1.36373,0.59968,0.65992,0.65405,0.48984,0.8849,1.12584,1.31756,0.00092825,0.00092825,0.00092825
28,892.63,1.01274,1.27332,1.34684,0.6443,0.66375,0.65087,0.47911,0.88333,1.16511,1.315,0.000915875,0.000915875,0.000915875
29,924.355,0.96776,1.24765,1.31953,0.65582,0.67808,0.66905,0.50113,0.86387,1.09416,1.28763,0.0009035,0.0009035,0.0009035
30,956.181,0.98694,1.22786,1.32012,0.6129,0.67607,0.66477,0.4902,0.87086,1.14769,1.30131,0.000891125,0.000891125,0.000891125
31,988.077,0.96912,1.21031,1.30677,0.65655,0.67496,0.68789,0.52347,0.80675,1.07765,1.23616,0.00087875,0.00087875,0.00087875
32,1019.95,0.94708,1.19666,1.29344,0.65142,0.65086,0.68828,0.53238,0.78526,1.03357,1.22345,0.000866375,0.000866375,0.000866375
33,1051.75,0.93051,1.20275,1.28988,0.65856,0.66618,0.67649,0.51268,0.82249,1.08738,1.2524,0.000854,0.000854,0.000854
34,1083.55,0.92591,1.16486,1.26976,0.65366,0.67161,0.68377,0.52477,0.8033,1.06567,1.22856,0.000841625,0.000841625,0.000841625
35,1115.17,0.92418,1.18154,1.28144,0.64342,0.68503,0.68596,0.5231,0.80863,1.05439,1.24862,0.00082925,0.00082925,0.00082925
36,1146.93,0.88961,1.13301,1.24936,0.67182,0.68855,0.69418,0.53066,0.78112,1.03633,1.21625,0.000816875,0.000816875,0.000816875
37,1178.71,0.90275,1.12563,1.24987,0.63298,0.72732,0.69109,0.52786,0.77313,1.02447,1.21525,0.0008045,0.0008045,0.0008045
38,1210.57,0.90569,1.14278,1.25888,0.66862,0.67909,0.70953,0.54235,0.76773,1.01327,1.19989,0.000792125,0.000792125,0.000792125
39,1242.48,0.87341,1.10304,1.23172,0.63914,0.7204,0.7078,0.54673,0.75363,0.99402,1.18806,0.00077975,0.00077975,0.00077975
40,1274.44,0.89013,1.1104,1.24396,0.68629,0.70431,0.70899,0.54667,0.7774,1.0161,1.21725,0.000767375,0.000767375,0.000767375
41,1306.17,0.87844,1.10334,1.24383,0.69624,0.68294,0.71494,0.54691,0.76961,0.99093,1.19901,0.000755,0.000755,0.000755
42,1338.06,0.86355,1.11495,1.23135,0.69652,0.70666,0.7163,0.56204,0.72361,0.98813,1.18188,0.000742625,0.000742625,0.000742625
43,1369.97,0.85474,1.08254,1.2184,0.68636,0.6855,0.7153,0.56032,0.72866,1.00271,1.17999,0.00073025,0.00073025,0.00073025
44,1401.79,0.85343,1.07248,1.21548,0.69767,0.68898,0.72177,0.56479,0.71145,0.94726,1.15202,0.000717875,0.000717875,0.000717875
45,1433.71,0.8242,1.04652,1.18768,0.69644,0.69489,0.72183,0.56521,0.73093,0.96568,1.16533,0.0007055,0.0007055,0.0007055
46,1465.51,0.82802,1.04742,1.20294,0.68663,0.7228,0.72603,0.57456,0.71294,0.94475,1.16491,0.000693125,0.000693125,0.000693125
47,1497.23,0.82578,1.04724,1.20017,0.68932,0.69674,0.72345,0.566,0.72406,0.94716,1.17064,0.00068075,0.00068075,0.00068075
48,1528.98,0.81536,1.04406,1.19081,0.71769,0.69484,0.73358,0.58397,0.69649,0.92933,1.14783,0.000668375,0.000668375,0.000668375
49,1560.83,0.80382,1.01675,1.18188,0.67788,0.72407,0.7286,0.58079,0.69765,0.91972,1.13997,0.000656,0.000656,0.000656
50,1592.71,0.81497,1.01964,1.1846,0.70618,0.7135,0.74357,0.59094,0.70323,0.91841,1.14778,0.000643625,0.000643625,0.000643625
51,1624.66,0.79922,1.01198,1.18123,0.69635,0.70842,0.74063,0.59152,0.69873,0.8918,1.14766,0.00063125,0.00063125,0.00063125
52,1656.49,0.78683,1.00067,1.16453,0.7092,0.67548,0.72654,0.57702,0.6856,0.93724,1.13621,0.000618875,0.000618875,0.000618875
53,1688.22,0.78533,0.98999,1.17257,0.71597,0.70391,0.73748,0.58741,0.67206,0.90681,1.12591,0.0006065,0.0006065,0.0006065
54,1719.96,0.77574,0.98248,1.15721,0.71593,0.71403,0.74676,0.59283,0.6812,0.91033,1.14081,0.000594125,0.000594125,0.000594125
55,1751.91,0.77405,0.97393,1.15953,0.73803,0.69191,0.74498,0.5999,0.67784,0.89597,1.12854,0.00058175,0.00058175,0.00058175
56,1783.84,0.76558,0.97418,1.14955,0.71572,0.6992,0.74396,0.59044,0.68758,0.90559,1.13878,0.000569375,0.000569375,0.000569375
57,1815.48,0.75796,0.95896,1.14754,0.72141,0.70941,0.75083,0.60264,0.67181,0.89648,1.13162,0.000557,0.000557,0.000557
58,1847.22,0.75372,0.9481,1.14787,0.71019,0.72045,0.74735,0.60735,0.6547,0.8852,1.11105,0.000544625,0.000544625,0.000544625
59,1879.1,0.7602,0.94673,1.14832,0.73702,0.7078,0.75164,0.60811,0.6493,0.86623,1.11267,0.00053225,0.00053225,0.00053225
60,1910.97,0.74172,0.9403,1.13962,0.73515,0.71427,0.75794,0.61938,0.62983,0.87644,1.09189,0.000519875,0.000519875,0.000519875
61,1942.87,0.74065,0.93355,1.13877,0.71238,0.74028,0.75642,0.60874,0.66203,0.86629,1.1236,0.0005075,0.0005075,0.0005075
62,1974.48,0.74368,0.91231,1.13621,0.77195,0.68397,0.76934,0.62231,0.6556,0.86628,1.11201,0.000495125,0.000495125,0.000495125
63,2006.26,0.72645,0.91166,1.11889,0.75748,0.69289,0.7625,0.61407,0.66624,0.85716,1.11653,0.00048275,0.00048275,0.00048275
64,2038.15,0.72709,0.90645,1.12415,0.70987,0.73235,0.75199,0.61296,0.64325,0.87357,1.10216,0.000470375,0.000470375,0.000470375
65,2069.96,0.72047,0.89441,1.11757,0.72823,0.74216,0.76284,0.62095,0.63684,0.82539,1.1031,0.000458,0.000458,0.000458
66,2101.67,0.72673,0.90471,1.12843,0.72511,0.72647,0.76545,0.6166,0.64454,0.84741,1.10121,0.000445625,0.000445625,0.000445625
67,2133.44,0.72076,0.89758,1.11906,0.72844,0.72803,0.76123,0.61591,0.64302,0.87102,1.10093,0.00043325,0.00043325,0.00043325
68,2165.05,0.70657,0.88445,1.11163,0.73194,0.73281,0.7716,0.63735,0.62099,0.82939,1.08378,0.000420875,0.000420875,0.000420875
69,2196.76,0.70993,0.88804,1.11873,0.74341,0.71823,0.77478,0.63585,0.61282,0.81902,1.07842,0.0004085,0.0004085,0.0004085
70,2228.53,0.70349,0.86993,1.11042,0.74731,0.71119,0.7662,0.62831,0.6216,0.83167,1.08888,0.000396125,0.000396125,0.000396125
71,2260.1,0.68968,0.86223,1.10139,0.734,0.7298,0.76697,0.6313,0.61623,0.83665,1.07563,0.00038375,0.00038375,0.00038375
72,2291.72,0.68069,0.84772,1.09143,0.7354,0.73389,0.77431,0.6364,0.61186,0.82114,1.07909,0.000371375,0.000371375,0.000371375
73,2323.46,0.689,0.85912,1.10209,0.74232,0.7303,0.76832,0.6373,0.59781,0.8272,1.06876,0.000359,0.000359,0.000359
74,2355.07,0.69307,0.85959,1.10562,0.74877,0.72855,0.77678,0.63228,0.61582,0.82424,1.07999,0.000346625,0.000346625,0.000346625
